 EMILI Output File
 ------------------------------------
 Input Line List: zone-MYSO-emi.in
 Input Matched List: zone-MYSO-emi.match
 Results List: zone-MYSO-emi.out
 Short Results List: zone-MYSO-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    171.206421    
 irvcor 2:    160.233536    
 irvcor 3:    159.780563    
 irvcor 4:    160.551498    
 irvcor 5:    160.551498    

Observed Line:  4609.12  6.9E-04  S/N:     9.56 FWHM:  30.2
   4606.67 |    4607.030 [Fe III]   1746940929     38  4.1E-01 -23.7 3/0 5A
   6037.24 |    6036.779  He II      135435294      7  3.2E-04  22.9 0/0 4D
   6037.25 |    6036.800  S  I      1073967218      5  8.1E-06  22.2 0/0 5 
+  6037.25 |    6036.880$ Ni II     1880793391      6  3.0E-06  18.6 0/0 5 
+  6037.24 |    6037.000  N  IV      473109674      5  1.2E-06  11.9 5/0 7 
+  6037.25 |    6037.080$ Ni II     1880792367      6  3.0E-06   8.7 0/0 4D
+  6037.25 |    6037.074$ Si I       939793425      7  2.3E-05   8.6 0/0 3A
+  6037.25 |    6037.102$ Fe I      1745592465      7  2.7E-05   7.2 0/0 3A
+  6037.25 |    6037.200$ Ni II     1880386701      6  3.5E-06   2.7 0/0 4D
+  6037.25 |    6037.220$ Si I       940087318      6  2.3E-05   1.3 0/0 3A
+  6037.25 |    6037.259  Fe I]     1744969776     24  1.8E-06  -0.6 1/0 5 
+  6037.25 |    6037.410  Ni II     1880767750      6  3.0E-06  -7.7 3/0 6 
+  6037.25 |    6037.500  C  II      403945630    261  5.8E-04 -12.2 7/0 5 
   6037.25 |    6037.850  C  II      403947679    262  5.8E-04 -29.6 2/0 6 
   6037.25 |    6038.031  Fe I      1745258615      8  3.4E-05 -39.0 7/0 8 
   6037.25 |    6038.107$ Fe I      1745635481      7  2.7E-05 -42.8 0/0 7 
   6037.25 |    6038.170  Fe II]    1746294009     22  3.1E-06 -45.5 5/0 * 
   6037.25 |    6038.200  C  II      403946655    261  5.8E-04 -47.0 4/0 8 
   6037.25 |    6038.250$ Si I       939943955      6  2.3E-05 -49.9 0/0 7 
   6037.25 |    6038.353  Fe II     1746280693      7  1.9E-04 -54.6 4/0 8 
   6037.25 |    6038.420  Fe II]    1746467182     22  1.0E-06 -57.9 7/0 * 
   6037.25 |    6038.550$ Si I       939964436      6  2.3E-05 -64.8 0/0 7 
   6037.25 |    6038.720$ Si I       940085270      6  2.3E-05 -73.2 0/0 7 
   6037.25 |    6038.890  Ni II     1880648930      6  3.1E-06 -81.3 2/0 * 
   6037.24 |    6039.000  O  IV      540125275    260  9.1E-06 -87.4 6/0 9 
   6037.25 |    6039.079  Fe II]    1746277609     23  4.2E-06 -90.6 5/0 * 
   6037.25 |    6039.160  C  I       402850838    262  1.9E-04 -95.1 0/0 6 
   6037.25 | >  6040.450  Fe II     1746117774      7  7.9E-04-158.7 7/0 0<

Observed Line:  6049.60  6.5E-03  S/N:    26.80 FWHM:  45.2
   6046.37 |    6045.700  S  I      1073940576      5  8.2E-06  33.3 1/0 8 
   6046.38 |    6045.816$ Fe II     1746343198      7  1.2E-04  28.0 0/0 5D
   6046.38 |    6045.820$ Ni II     1880767768      6  3.0E-06  27.8 0/0 7 
   6046.38 |    6045.860$ Ni II     1880384653      6  3.5E-06  25.8 0/0 7 
   6046.37 |    6045.890$ Si I       939948052      6  2.3E-05  23.9 0/0 6 
   6046.37 |    6045.973  S  I      1073837065    263  8.6E-06  19.8 5/0 7 
   6046.37 |    6046.038  S  I      1073836041    263  8.6E-06  16.5 5/0 7 
+  6046.37 |    6046.081$ Ni I      1879332923      7  1.4E-06  14.4 0/0 5D
+  6046.37 |    6046.113  Fe I]     1745076307     24  8.9E-07  12.8 7/0 7 
+  6046.38 |    6046.134$ Ne I       671134729    648  6.0E-05  12.2 0/0 3B
+  6046.37 |    6046.210$ Si I       940077078      6  2.3E-05   8.0 0/0 4C
+  6046.38 |    6046.340  Cr II     1612107015      6  1.6E-06   2.0 4/0 6 
+  6046.38 |    6046.389* O  I       536925196    263  5.5E-04  -0.5 0/0 2A
   6046.37 |    6046.678$ Si I       939789329      7  2.3E-05 -15.2 0/0 5D
   6046.37 |    6046.680  Si I       939787280    262  2.3E-05 -15.3 3/0 7 
   6046.37 |    6046.711$ Fe I      1745602708      7  2.7E-05 -16.9 0/0 5D
   6046.37 |    6046.812  Fe I]     1745136738     24  6.8E-07 -21.9 9/0 8 
   6046.38 |    6047.110  Cr II]    1611743266     22  6.2E-06 -36.2 2/0 9 
   6046.36 |    6047.300  N  IV      473024595    261  1.2E-06 -46.4 0/0 8 
   6046.37 |    6047.633  Fe I      1745390725      8  3.0E-05 -62.6 6/0 9 
   6046.37 |    6047.680  Cr I      1610856524      6  6.6E-07 -64.9 6/0 * 
   6046.38 |    6047.730  Ni II     1880739077      6  3.0E-06 -67.0 5/0 * 
   6046.38 |    6047.732  Fe II     1746463059      7  9.3E-05 -67.1 0/0 6 
   6046.38 |    6047.774  Fe II]    1746208982     23  7.1E-06 -69.2 0/0 7 
   6046.15 |    6047.570 [Ti II]    1477474306     54  1.9E-05 -70.4 4/0 9 
   6046.38 | >  6048.085  Fe II     1746134182      7  5.9E-04 -84.6 2/0 0<

Observed Line:  6087.34  1.6E-04  S/N:    14.28 FWHM:  46.0
   6084.09 |    6083.517  Fe I]     1744975931     24  1.5E-06  28.3 4/1 8  6036.656  29.3
   6084.09 |    6083.522  Mg I       805398535    263  2.9E-05  28.1 0/0 6 
   6084.09 |    6083.660  Fe I]     1745062994     24  9.3E-07  21.2 4/1 7  6221.370  31.2
+  6084.10 |    6084.010  Ni II     1880381596      6  3.4E-06   4.4 0/0 4B
+  6084.09 |    6084.045$ Fe I      1745603735      7  2.7E-05   2.3 0/0 3A
+  6084.10 |    6084.070  S  II     1074880566    262  2.6E-05   1.4 3/0 5D
+  6084.10 |    6084.112  Fe II]    1745951782     23  8.0E-04  -0.6 7/0 4B
   6084.10 |    6084.520  Ni II     1880721641      6  3.0E-06 -20.8 1/0 7 
   6084.08 |    6084.670  N  VII     476168302      6  3.0E-06 -28.9 0/0 7 
   6084.09 |    6084.862$ Fe I      1745600662      7  2.7E-05 -38.0 0/0 7 
   6084.10 |    6084.990  Cr II]    1611791442     22  1.3E-06 -43.9 5/0 * 
   6084.10 |    6085.029  Fe II]    1745996871     23  1.6E-04 -45.8 5/0 8 
   6084.10 |    6085.080  O  I       537059441      6  4.4E-04 -48.4 2/0 8 
   6084.09 |    6085.370$ Si I       940056598      6  2.3E-05 -63.1 0/0 7 
   6083.87 |    6085.228  Ti I      1476462603      7  8.4E-07 -67.0 2/0 * 
   6084.09 |    6085.610$ Si I       939964437      6  2.3E-05 -74.9 0/0 7 
   6084.09 |    6085.630 [Co II]    1813028890     38  6.9E-05 -75.9 2/0 9 
   6084.08 | >  6086.300 [Fe VII]   1751126018     38  3.7E-03-109.2 1/0 0<

Observed Line:  6225.34  2.8E-04  S/N:     9.00 FWHM:  43.4
   6222.03 |    6221.370  O  I       537058449      6  4.4E-04  31.6 2/0 7 
   6222.02 |    6221.370  Fe I]     1745062995     24  9.3E-07  31.2 5/1 8  6083.660  21.2
   6221.79 |    6221.201  Ca I      1342660633    263  1.1E-06  28.4 5/0 9 
   6222.02 |    6221.538  Fe I]     1744963632     24  1.9E-06  23.1 5/1 7  6466.804  23.3
   6222.02 |    6221.672  Fe I]     1744869382     24  1.1E-05  16.6 5/0 7 
+  6222.02 |    6221.700$ Si I       939900950      6  2.3E-05  15.3 0/0 4B
+  6222.03 |    6221.750  Ni II     1880772908      6  3.0E-06  13.3 0/0 5D
+  6222.03 |    6221.850$ Ni II     1880738075      6  3.0E-06   8.5 0/0 5D
+  6222.03 |    6221.880  Fe II]    1746468209     22  1.0E-06   7.0 8/0 6 
+  6222.03 |    6221.900  C  II      403808295      5  5.8E-04   6.1 0/0 2A
+  6222.01 |    6222.000 [K  V]     1279267842     37  9.8E-07   0.5 2/0 6 
+  6222.03 |    6222.100$ Ni II     1880806721      6  3.0E-06  -3.6 0/0 4B
   6222.02 |    6222.366$ Si I       939851797      7  2.3E-05 -16.8 0/0 5D
   6222.03 |    6222.560  C  II      403956898    262  5.8E-04 -25.8 0/0 5D
   6222.03 |    6222.577  Fe II     1746116752      7  8.1E-04 -26.6 4/0 7 
   6222.03 |    6222.620  Cr II     1612195131      6  1.4E-06 -28.6 5/1 8  6271.450  -8.6
   6222.02 |    6222.686$ Si I       939761680      7  2.4E-05 -32.2 0/0 7 
   6222.03 |    6222.720$ Ni II     1880737051      6  3.0E-06 -33.5 0/0 8 
   6222.03 |    6222.860 [Ni III]   1881188386     38  1.1E-05 -40.2 2/0 9 
   6221.79 |    6222.645* Ca I      1342287882    263  2.1E-06 -41.2 0/0 8 
   6222.01 |    6223.000  O  IV      540124253    260  9.1E-06 -47.7 3/0 9 
   6222.03 |    6223.260  O  I       537059473      6  4.4E-04 -59.5 2/0 8 
   6222.02 |    6223.432$ Si I       939830291      7  2.3E-05 -68.2 0/0 7 
   6222.03 |    6223.645 [Cr III]   1612756003     39  6.8E-05 -78.0 7/0 9 
   6222.03 | >  6224.230  O  I       537057425      6  4.4E-04-106.2 1/0 0<

Observed Line:  6251.82  5.3E-04  S/N:     7.59 FWHM:  45.5
+  6248.48 |    6248.295$ Si I       939885590      7  2.3E-05   9.0 0/0 5B
+  6248.48 |    6248.660  C  I       402889751      6  1.9E-04  -8.5 0/0 4A
   6248.49 |    6248.897  Fe II     1746002002      7  4.4E-03 -19.5 4/0 6C
   6248.48 |    6249.369$ Si I       939884566      7  2.3E-05 -42.5 0/0 8D
   6248.48 |    6249.620 [Co II]    1813028891     54  6.9E-05 -54.6 5/0 9 
   6248.48 |    6249.785$ Fe I      1745544343      7  2.8E-05 -62.5 0/0 8D
   6248.48 |    6249.965$ Si I       939845653      7  2.3E-05 -71.1 0/0 8D
   6248.49 |    6250.150  C  II      403909775    262  5.8E-04 -79.6 7/0 8D
   6248.49 | >  6251.100  C  II      403805222      5  5.8E-04-125.2 0/0 0<

Observed Line:  6266.13  1.5E-04  S/N:     1.68 FWHM:  47.7
+  6262.79 |    6262.260  Cr II]    1611855985     22  6.3E-07  25.6 4/0 7 
+  6262.79 |    6262.320$ Ni II     1880697087      6  3.0E-06  22.7 0/0 5 
+  6262.79 |    6262.348$ Fe I      1745641634      7  2.7E-05  20.9 0/0 4D
+  6262.79 |    6262.359$ Fe I      1745592479      7  2.7E-05  20.4 0/0 4D
+  6262.79 |    6262.400  Ni II     1880380562      6  3.5E-06  18.9 1/0 5 
+  6262.56 |    6262.223  Ca I      1342631947      7  1.8E-06  16.0 0/0 4D
+  6262.79 |    6262.570  Fe II]    1746267372     22  4.6E-06  10.7 4/0 6 
+  6262.78 |    6262.600  N  IV      472956962    261  1.2E-06   8.5 5/0 6 
+  6262.79 |    6262.620  Ni II     1880565975      6  3.1E-06   8.3 6/0 6 
+  6262.79 |    6262.737$ Si I       939841557      7  2.3E-05   2.3 0/0 3A
+  6262.56 |    6262.513  Ca I      1342630923      7  1.8E-06   2.1 0/0 4D
+  6262.56 |    6262.630 [Ti II]    1477477389     54  8.3E-06  -3.5 2/0 5 
+  6262.79 |    6262.991$ Fe I      1745668260      7  2.7E-05  -9.9 0/0 3A
+  6262.56 |    6262.819  Ca I      1342629899      7  1.8E-06 -12.6 0/0 4D
+  6262.78 |    6263.110  Ne III     673331303    262  7.8E-07 -15.9 5/0 6 
+  6262.79 |    6263.170$ S  II     1074895935      6  2.6E-05 -18.0 0/0 3A
+  6262.79 |    6263.220$ Ni II     1880690940      6  3.0E-06 -20.4 0/0 5 
+  6262.79 |    6263.223  Fe I      1745014859      8  5.7E-05 -21.0 6/0 6 
+  6262.79 |    6263.268  Fe I      1745155178      8  4.0E-05 -23.1 */0 6 
+  6262.56 |    6263.090 [Co I]     1811959810     38  1.6E-06 -25.6 2/0 7 
+  6262.56 |    6263.133  Ca I      1342628875      7  1.8E-06 -27.6 0/0 5 
   6262.56 |    6263.471  Ca I      1342627851      7  1.8E-06 -43.8 0/0 6 
   6262.79 |    6263.890$ S  II     1074985042      6  2.6E-05 -52.5 0/0 5 
   6262.56 |    6263.700  Ca I      1342669859      5  8.6E-07 -54.8 0/0 6 
   6262.79 |    6264.000  C  II      403909777    262  5.8E-04 -57.8 6/0 7 
   6262.56 |    6263.819  Ca I      1342626827      7  1.8E-06 -60.5 0/0 7 
   6262.79 |    6264.206  Fe II     1746272490      7  2.0E-04 -67.6 5/0 7 
   6262.79 |    6264.200 [V  II]    1544619041     54  1.7E-05 -67.8 2/0 8 
   6262.79 |    6264.405$ Ni I      1879311418      7  1.4E-06 -77.6 0/0 8 
   6262.56 |    6264.188  Ca I      1342625803      7  1.8E-06 -78.2 0/0 8 
   6262.79 |    6264.548  O  I       537075864      7  4.3E-04 -84.0 5/0 8 
   6262.79 |    6264.600$ Ni II     1880691967      6  3.0E-06 -86.5 0/0 8 
   6262.79 |    6264.610 [V  II]    1544612892     38  2.4E-05 -87.4 2/0 9 
   6262.79 |    6264.700 [V  III]   1545617415     53  6.4E-05 -91.3 3/0 8 
   6262.56 |    6264.577  Ca I      1342623755      7  1.8E-06 -96.8 0/0 8 
   6262.79 |    6264.899$ Si I       939840533      7  2.3E-05-101.2 0/0 7 
   6262.79 |    6264.950  Cr II]    1611740191     22  6.7E-06-103.2 */0 9 
   6262.79 |    6264.990$ Ni II     1880692991      6  3.0E-06-105.2 0/0 8 
   6262.79 |    6265.010  Cr II     1612156197      6  1.5E-06-106.1 7/0 * 
   6262.79 |    6265.132  Fe I      1744922638      8  1.4E-04-112.4 4/0 8 
   6262.56 |    6264.977  Ca I      1342621707      7  1.8E-06-115.9 0/0 8 
   6262.79 |    6265.212  Fe I      1745536149      8  2.8E-05-116.2 7/0 9 
   6262.79 |    6265.423  Fe I      1745339525      8  3.1E-05-126.3 5/0 9 
   6262.79 |    6265.500  S  I      1073918035      5  8.2E-06-130.0 0/0 7 
   6262.79 |    6265.512$ Fe I      1745640610      7  2.7E-05-130.6 0/0 7 
   6262.79 |    6265.619  Fe I]     1745160299     24  6.5E-07-135.7 5/0 * 
   6262.56 |    6265.409  Ca I      1342617611      7  1.8E-06-136.6 0/0 8 
   6262.79 |    6265.661  Fe II]    1746308360     23  2.6E-06-137.3 4/0 * 
   6262.79 |    6265.910  V  II     1544742006      6  8.2E-07-149.2 5/0 * 
   6262.79 |    6266.050$ Ni II     1880687871      6  3.0E-06-155.9 0/0 8 
   6262.56 |    6265.861  Ca I      1342613515      7  1.8E-06-158.2 0/0 8 
   6262.79 |    6266.209$ Si I       939824147      7  2.3E-05-163.9 0/0 7 
   6262.79 |    6266.496$ Ne I       671099908    648  6.0E-05-177.2 0/0 6 
   6262.56 |    6266.336  Ca I      1342609419      7  1.8E-06-181.0 0/0 8 
   6262.79 |    6266.770$ Ni II     1880690943      6  3.0E-06-190.3 0/0 8 
   6262.79 | >  6267.360  C  II      403850371    262  5.8E-04-218.6 4/1 0< 6275.720-212.7

Observed Line:  6274.61  1.0E-03  S/N:     2.98 FWHM:  50.1
   6271.27 |    6270.430  Ni II     1880672489      6  3.1E-06  40.2 1/0 8 
+  6271.27 |    6270.768  Fe II     1746192580      7  3.4E-04  24.0 4/0 5B
+  6271.27 |    6271.090  Ti II     1477487644      6  4.5E-06   8.6 2/0 6D
+  6271.26 |    6271.172$ Si I       939826196      7  2.3E-05   4.2 0/0 4A
+  6271.27 |    6271.230  Fe II     1746399535      6  1.1E-04   1.9 5/0 5B
   6271.27 |    6271.870  Cr II     1611844712      6  2.5E-05 -28.7 6/0 8 
   6271.27 |    6271.920$ Ni II     1880724750      6  3.0E-06 -31.1 0/0 6D
   6271.26 |    6271.990$ Si I       939825172      6  2.3E-05 -34.9 0/0 6D
   6271.26 |    6272.169$ Si I       939821075      7  2.3E-05 -43.4 0/0 7 
   6271.27 |    6272.342 [Cr III]   1612757028     39  6.7E-05 -51.3 6/0 9 
   6271.26 |    6272.570 [Cr II]    1611713544     38  6.9E-04 -62.6 4/0 8 
   6271.27 |    6272.979  N  I       469896216    263  6.2E-05 -81.8 2/0 9 
   6271.27 |    6273.017$ Ne I       671136782    648  6.0E-05 -83.6 0/0 7 
   6271.26 |    6273.500  Mg I       805509250      5  2.1E-05-107.1 0/0 8 
   6271.27 |    6273.569  Fe II     1746055265      7  2.6E-03-110.0 8/0 8 
   6271.27 |    6273.655  Fe II]    1746198743     23  7.5E-06-114.1 */0 * 
   6271.27 |    6273.750$ S  II     1075026051      6  2.6E-05-118.6 0/0 7 
   6271.26 |    6273.780 [V  II]    1544619042     38  1.7E-05-120.5 1/0 9 
   6271.26 | >  6275.512 [Fe II]    1745898503     55  2.8E-01-203.2 2/0 0<

Observed Line:  6303.67  3.9E-02  S/N:    27.36 FWHM:  45.4
+  6300.31 |    6300.304 [O  I]      536875009     39  8.9E-01   0.1 1/1 0A 6363.777   3.5
   6300.31 | >  6302.394  Fe II     1746120851      7  8.1E-04 -99.0 3/0 0<

Observed Line:  6315.35  1.6E-02  S/N:    27.56 FWHM:  40.9
   6311.98 |    6311.570 [Co II]    1813007364     38  6.2E-04  19.4 1/0 6B
+  6311.99 |    6312.100 [S  III]   1075844100     53  1.1E-01  -5.3 0/0 1A
   6311.98 | >  6314.120 [Co II]    1813021708     38  2.7E-04-101.7 1/0 0<

Observed Line:  6321.91  1.1E-03  S/N:     4.51 FWHM:  44.0
   6318.54 |    6317.983  Fe II     1745998930      7  4.5E-03  26.7 3/2 3A 6455.837  43.9 6383.721  36.1
   6318.54 |    6318.080 [Ni III]   1881187362     38  1.1E-05  22.1 4/0 8 
+  6318.54 |    6318.470  Cr II]    1611739167     22  6.8E-06   3.6 */0 6C
+  6318.54 |    6318.500  S  I      1073920085    261  8.2E-06   1.7 3/0 6C
+  6318.54 |    6318.656  Fe II]    1745944608     23  1.2E-03  -5.3 3/0 4B
+  6318.54 |    6318.721  Fe I      1745376394      8  3.0E-05  -8.8 */0 6C
   6318.54 |    6318.977* Mg I       805345286    263  3.3E-05 -20.9 0/0 6C
   6318.54 |    6319.330  Fe II     1746264296      7  2.1E-04 -37.3 4/1 7  6347.543 -24.7
   6318.54 |    6319.900  Al II      873524253    262  5.0E-06 -64.3 0/0 8 
   6318.53 |    6320.000 [Co XII]   1823475713    163  1.9E-05 -69.8 0/0 8 
   6318.54 |    6320.250  Al II      873627688      6  4.9E-06 -80.9 2/0 * 
   6318.54 |    6320.278  Fe II     1746280695      7  1.9E-04 -82.3 7/0 9 
   6318.54 | >  6321.450 [Cr III]   1612758053     38  6.6E-05-137.9 3/0 0<

Observed Line:  6350.40  7.7E-03  S/N:     6.86 FWHM:  35.9
   6347.00 |    6346.300 [Mn V]     1681932301     53  1.5E-06  33.3 3/0 * 
   6347.02 |    6346.417  Fe II]    1746132130     23  1.9E-05  28.5 4/0 8 
   6347.02 |    6346.510$ Ni II     1880665391      6  3.0E-06  24.1 0/0 6 
   6347.02 |    6346.560  Si II      940680287    262  5.7E-05  21.7 1/0 6 
   6347.01 |    6346.649$ Si I       939841558      7  2.3E-05  17.1 0/0 5 
+  6347.01 |    6346.690$ Fe I      1745552543      7  2.8E-05  15.1 0/0 4D
+  6347.00 |    6346.819* Mg II      806383626    262  1.0E-04   8.7 0/0 3C
+  6347.02 |    6347.030$ Ni II     1880698124      6  3.0E-06  -0.5 0/0 4D
+  6347.02 |    6347.110  Si II      940585992    262  6.1E-04  -4.3 1/1 1A 6371.370  -3.9
+  6347.02 |    6347.170* Si II      940655642      6  6.2E-05  -7.1 0/0 2B
+  6347.01 |    6347.250$ Si I       940079130      6  2.3E-05 -11.3 0/0 4D
+  6347.01 |    6347.330$ Si I       940078106      6  2.3E-05 -15.1 0/0 4D
+  6347.01 |    6347.340 [V  II]    1544610843     38  2.5E-05 -15.6 5/0 6 
+  6347.01 |    6347.346$ Ni I      1879307325      7  1.5E-06 -15.9 0/0 5 
+  6347.01 |    6347.346$ Fe I      1745668264      7  2.7E-05 -15.9 0/0 4D
   6347.02 |    6347.380  Ni II     1880493233      6  3.2E-06 -17.0 1/0 7 
   6347.02 |    6347.543  Fe II     1746262248      7  2.1E-04 -24.7 6/1 5  6319.330 -37.3
   6347.01 |    6347.617$ Fe I      1745663143      7  2.7E-05 -28.7 0/0 6 
   6347.02 |    6347.730$ S  II     1074985043      6  2.6E-05 -33.6 0/0 7 
   6347.02 |    6347.770  Cr II     1612377488      6  9.7E-07 -35.5 3/0 * 
   6347.01 |    6347.830 [V  II]    1544588294     54  8.1E-05 -38.7 8/1 7  6372.110 -39.2
   6347.02 |    6347.940$ Ni II     1880656156      6  3.0E-06 -43.5 0/0 8 
   6347.02 |    6347.970 [Mn III]   1679836165     38  2.9E-04 -44.9 4/0 8 
   6347.02 |    6348.100$ Ni II     1880657199      6  3.0E-06 -51.1 0/0 8 
   6347.01 |    6348.360  Cr I      1610848336      6  6.8E-07 -63.8 8/1 9  6313.220 -59.0
   6347.01 |    6348.378  Fe I      1745173614      8  3.9E-05 -64.7 */0 9 
   6347.02 |    6348.450$ Cr II     1612402140      6  9.0E-07 -67.6 0/0 8 
   6346.78 |    6348.238* Ca I      1342677038      7  7.2E-07 -69.0 0/0 8 
   6347.02 |    6348.500$ Cr II     1612401116      6  9.0E-07 -70.0 0/0 8 
   6347.02 |    6348.560$ Ni II     1880684808      6  3.0E-06 -72.8 0/0 8 
   6347.02 | >  6350.063  Fe II     1746054243      7  2.6E-03-143.8 7/0 0<

Observed Line:  6367.25  1.4E-02  S/N:    19.73 FWHM:  46.1
+  6363.85 |    6363.777 [O  I]      536875010     39  8.9E-01   3.5 1/1 0A 6300.304   0.1
   6363.85 |    6365.100 [Ni II]    1880110084     38  7.6E-03 -58.8 1/0 8B
   6363.86 | >  6366.310  O  I       537070741      6  4.4E-04-115.4 6/0 0<

Observed Line:  6374.68  8.7E-03  S/N:    15.17 FWHM:  46.3
   6371.28 |    6370.718$ Si I       939830294      7  2.3E-05  26.3 0/0 7 
   6371.29 |    6370.960  O  I       537069718      6  4.4E-04  15.4 6/0 7 
+  6371.29 |    6371.126  Fe II     1746001999      7  4.4E-03   7.6 5/0 5 
+  6371.29 |    6371.200  O  I       537236671      5  4.3E-04   4.1 0/0 3B
+  6371.29 |    6371.257$ Fe II     1746379058      7  1.2E-04   1.4 0/0 3B
+  6371.28 |    6371.356$ Fe I      1745544349      7  2.8E-05  -3.7 0/0 4D
+  6371.29 |    6371.370  Si II      940584968    262  6.2E-04  -3.9 1/1 1A 6347.110  -4.3
   6371.29 |    6371.720  Fe II     1746115728      7  8.4E-04 -20.4 2/0 6 
   6371.29 |    6371.950  Cr II]    1611740195     22  6.7E-06 -31.2 4/0 * 
   6371.28 |    6372.110 [V  II]    1544587270     38  8.2E-05 -39.2 7/0 9 
   6371.29 |    6372.369  Fe II]    1746110583     23  2.8E-05 -51.0 4/0 * 
   6371.29 |    6372.419  Fe II     1746413877      7  1.1E-04 -53.3 3/0 9 
   6371.28 |    6372.798  Fe I      1745524887      8  2.8E-05 -71.6 */0 * 
   6371.29 | >  6374.170  O  I       537068692      6  4.4E-04-135.7 3/0 0<

Observed Line:  6387.89  3.0E-04  S/N:     8.86 FWHM:  47.1
   6384.49 |    6383.721  Fe II     1746002003      7  4.4E-03  36.1 6/3 5A 6317.983  26.7 6455.837  46.6 6491.246  17.9
   6384.49 |    6383.800  C  II      403906704    261  5.8E-04  32.4 8/0 8 
   6384.49 |    6383.900  S  II     1074892861    262  2.6E-05  27.7 3/0 9 
   6384.48 |    6383.958$ Fe I      1745639589      7  2.7E-05  24.6 0/0 7 
   6384.49 |    6384.000 [V  III]   1545618441     53  6.3E-05  23.0 3/1 6D 6432.900  31.4
   6384.49 |    6384.097$ Fe II     1746374962      7  1.2E-04  18.5 0/0 5A
+  6384.49 |    6384.300  C  II      403905679    261  5.8E-04   8.9 8/0 5A
+  6384.48 |    6384.776  Si I       939723793    263  2.4E-05 -13.9 4/1 6D 6529.405 -18.5
   6384.49 |    6384.890  S  II     1074830359    262  2.8E-05 -18.8 7/0 8 
   6384.49 |    6384.934  Fe II     1746394421      7  1.1E-04 -20.9 5/0 7 
   6384.49 |    6385.100$ S  II     1074985045      6  2.6E-05 -28.7 0/0 7 
   6384.48 |    6385.277$ Fe I      1745663144      7  2.7E-05 -37.4 0/0 8 
   6384.49 |    6385.366  Fe II]    1746135212     23  1.6E-05 -41.2 4/0 * 
   6384.49 |    6385.452  Fe II     1746000979      7  4.4E-03 -45.2 7/1 7  6493.035 -64.8
   6384.49 |    6385.640  O  I       537036875      6  4.5E-04 -54.0 2/0 8 
   6384.49 |    6385.670  C  II      403908754    262  5.8E-04 -55.4 2/0 8 
   6384.48 |    6385.760$ Si I       940058650      6  2.3E-05 -60.1 0/0 8 
   6384.49 |    6386.130  Al II      873632812      6  4.9E-06 -77.1 0/0 8 
   6384.49 | >  6386.713  Fe II     1746075757      7  1.7E-03-104.4 2/1 0< 6487.339-125.0

Observed Line:  6437.00  5.0E-04  S/N:    10.27 FWHM:  44.6
   6433.56 |    6432.873$ Fe I      1745655979      7  2.7E-05  32.2 0/0 7 
   6433.57 |    6432.900 [V  III]   1545617417     37  6.4E-05  31.4 2/0 9 
+  6433.57 |    6433.423  Fe II]    1746133155     23  1.8E-05   7.0 4/0 6 
+  6433.56 |    6433.453$ Si I       940036122      7  2.3E-05   5.2 0/0 4B
+  6433.57 |    6433.470$ S  II     1074979922      6  2.6E-05   4.8 0/0 4B
+  6433.57 |    6433.590  Cr II     1611971783      6  4.0E-06  -0.8 7/0 6 
+  6433.57 |    6433.610  Cr II     1611849841      6  2.3E-05  -1.7 7/0 6 
+  6433.56 |    6433.640  C  I       402866199    262  1.9E-04  -3.5 0/0 3A
+  6433.56 |    6433.760$ Si I       940035098      6  2.3E-05  -9.1 0/0 5D
+  6433.57 |    6433.814  Fe II     1746053218      7  2.7E-03 -11.2 4/0 5D
   6433.57 |    6434.130  Ni II     1880337548      6  3.6E-06 -26.0 2/0 9 
   6433.57 |    6434.212  Fe II     1746193614      7  3.4E-04 -29.8 5/0 7 
   6433.57 |    6434.380  Si II      940679263    262  5.7E-05 -37.6 2/1 7  6484.760  -5.7
   6433.33 |    6434.140 [Ti II]    1477474311     54  1.9E-05 -37.8 2/0 * 
   6433.56 |    6434.430  Fe III]   1746989096     22  3.1E-05 -40.7 4/0 9 
   6433.57 |    6434.600  Ni II     1880315012      6  3.8E-06 -47.9 0/0 8 
   6433.56 |    6434.730 [Ar V]     1212157954     38  2.9E-04 -54.7 1/0 7 
   6433.57 |    6434.880  Ni II     1880596703      6  3.1E-06 -60.9 2/0 * 
   6433.57 |    6434.930* Na I       738347012      7  3.5E-06 -63.2 0/0 8 
   6433.57 |    6435.170$ Ni II     1880684821      6  3.0E-06 -74.4 0/0 8 
   6433.57 | >  6435.720  C  II      403840052      6  5.8E-04-100.1 1/0 0<

Observed Line:  6460.22  9.4E-04  S/N:     1.48 FWHM:  43.8
+  6456.78 |    6455.977  O  I       536904714    263  5.9E-04  37.4 1/0 5C
+  6456.77 |    6456.020 [V  II]    1544587272     38  8.2E-05  34.9 5/0 7 
+  6456.78 |    6456.384  Fe II     1745969204      7  1.7E-02  18.5 2/0 3A
+  6456.77 |    6456.617$ Fe I      1745663149      7  2.7E-05   7.2 0/0 4B
+  6456.77 |    6457.238$ Fe I      1745633446      7  2.7E-05 -21.7 0/0 5C
